prefix_tokens,mean_next_token_entropy,silhouette_score,model_id,participation_ratio,effective_rank
10,0.31967940792601657,1.0,,,
20,0.12727927224647462,1.0,,,
30,0.10010333843221768,0.42555221915245056,,,
40,0.0573815323588342,0.2133500874042511,,,
50,0.07730448663296124,0.16805286705493927,,,
60,0.05465955477797538,0.1128377914428711,,,
70,0.07050668229527085,0.0333147831261158,,,
80,0.07583012822353231,0.03905094414949417,,,
90,0.09120094107476145,0.03610995411872864,,,
100,0.08189824489416947,0.04844839498400688,,,
110,0.08881785137578004,0.05309886485338211,,,
120,0.09317186055395804,0.05314754322171211,,,
130,0.0993598232795625,0.03919548913836479,,,
140,0.12451668385789894,0.059882279485464096,,,
150,0.14723205315874277,0.036483779549598694,,,
10,0.0027929556703033564,,microsoft/Phi-3-small-8k-instruct,0.008837311744689942,0.009782049179077148
20,0.033815260996684436,,microsoft/Phi-3-small-8k-instruct,0.009405296325683593,0.0116815824508667
30,0.17492135136956885,,microsoft/Phi-3-small-8k-instruct,0.007851210276285808,0.01498343022664388
40,0.08886661946483251,,microsoft/Phi-3-small-8k-instruct,0.007737285137176514,0.02168025016784668
50,0.09517740076002389,,microsoft/Phi-3-small-8k-instruct,0.009868387132883072,0.03631031885743141
60,0.08942482700176978,,microsoft/Phi-3-small-8k-instruct,0.012020514346659184,0.05213166028261185
70,0.08747892467122209,,microsoft/Phi-3-small-8k-instruct,0.014216084964573383,0.0682552382349968
80,0.09290881678121687,,microsoft/Phi-3-small-8k-instruct,0.016275307163596153,0.08298070728778839
90,0.10606639848457008,,microsoft/Phi-3-small-8k-instruct,0.018187200650572777,0.09621886909008026
100,0.09710674976133314,,microsoft/Phi-3-small-8k-instruct,0.01993967406451702,0.10803285986185074
110,0.10222862276054352,,microsoft/Phi-3-small-8k-instruct,0.021491333842277527,0.11808589845895767
120,0.09854196751355566,,microsoft/Phi-3-small-8k-instruct,0.022976355627179146,0.12775979936122894
130,0.11432407230560138,,microsoft/Phi-3-small-8k-instruct,0.024201342836022377,0.1357436180114746
140,0.1395751105015009,,microsoft/Phi-3-small-8k-instruct,0.025064919143915176,0.14124798774719238
150,0.1492202765197769,,microsoft/Phi-3-small-8k-instruct,0.02572743594646454,0.14548803865909576
10,0.054749429546040417,,microsoft/Phi-3-mini-4k-instruct,0.009373103141784668,0.010029911994934082
20,0.17976370749262507,,microsoft/Phi-3-mini-4k-instruct,0.00849283790588379,0.011240715980529786
30,0.1837207504925774,,microsoft/Phi-3-mini-4k-instruct,0.0066325244903564454,0.01041406504313151
40,0.1571610278001646,,microsoft/Phi-3-mini-4k-instruct,0.0071752263853947324,0.01692102973659833
50,0.09212072807446538,,microsoft/Phi-3-mini-4k-instruct,0.008046497901280722,0.026453820367654163
60,0.1250371483207529,,microsoft/Phi-3-mini-4k-instruct,0.009285607685645422,0.04172764718532562
70,0.10731589069008912,,microsoft/Phi-3-mini-4k-instruct,0.009926657502849897,0.057168543338775635
80,0.09336289815678903,,microsoft/Phi-3-mini-4k-instruct,0.010314245397845903,0.07196999589602153
90,0.10509534027161535,,microsoft/Phi-3-mini-4k-instruct,0.01054280623793602,0.08397651712099712
100,0.11853578007004546,,microsoft/Phi-3-mini-4k-instruct,0.010785429428021112,0.09660412867863973
110,0.11247698287225763,,microsoft/Phi-3-mini-4k-instruct,0.010841830323139826,0.1062932809193929
120,0.11481331579893485,,microsoft/Phi-3-mini-4k-instruct,0.010885914166768393,0.11480237046877544
130,0.11470487675491942,,microsoft/Phi-3-mini-4k-instruct,0.010765213519334793,0.12152578433354695
140,0.10472465102612734,,microsoft/Phi-3-mini-4k-instruct,0.010768314202626547,0.1282684008280436
150,0.13331944423483288,,microsoft/Phi-3-mini-4k-instruct,0.01069250206152598,0.13340131441752115
10,0.31999823712275133,,meta-llama/Meta-Llama-3-8B-Instruct,0.007435241222381592,0.00846232032775879
20,0.13075982431082867,,meta-llama/Meta-Llama-3-8B-Instruct,0.00690173053741455,0.009202417373657226
30,0.10016298917467316,,meta-llama/Meta-Llama-3-8B-Instruct,0.006384897867838542,0.013083264668782553
40,0.05739023016275194,,meta-llama/Meta-Llama-3-8B-Instruct,0.006716250896453857,0.020429622650146483
50,0.07711705500487821,,meta-llama/Meta-Llama-3-8B-Instruct,0.00890221819281578,0.03485007584095001
60,0.054457613038680776,,meta-llama/Meta-Llama-3-8B-Instruct,0.011237445287406445,0.050384849309921265
70,0.07023473222635636,,meta-llama/Meta-Llama-3-8B-Instruct,0.013564041815698147,0.06555105745792389
